Advertising_Type,Total_Spend,Total_Sales,Total_Orders,Total_Units,Total_Impressions,Total_Clicks,Unique_ASINs,ACOS,ROAS,Cost Per Click (CPC),Conversion_Rate,Avg_CPC,Avg_CVR,CTR,Spend_Per_ASIN,Sales_Per_ASIN,Orders_Per_ASIN
Non-Perpetua,49596.13,130338.64,11329,12925,7410353,54347,193,0.0006,2.5972,0.3285,0.001,0.9125826632564814,0.20845676854288187,0.0073339286266119845,256.9747668393782,675.3297409326425,58.69948186528497
Perpetua,236157.39,467827.25,39717,44888,29363618,200194,227,0.001,1.4449,0.4352,0.0008,1.1796426965843132,0.19839255921755897,0.006817756585717741,1040.3409251101323,2060.9129955947137,174.9647577092511
